| date | open | last | high | low | volume | amount | exchange |
| 2021-06-22 | 14678.37 | 14696.29 | 14706.50 | 14564.50 | 424480132 | 6221080354294 | 6221080354294.09 |
| 2021-06-23 | 14713.84 | 14843.83 | 14882.14 | 14641.47 | 414389395 | 6128465539766 | 6128465539766.27 |
| 2021-06-24 | 14876.73 | 14784.80 | 14877.64 | 14718.89 | 399919912 | 5916325862681 | 5916325862680.99 |
| 2021-06-25 | 14799.53 | 15003.85 | 15036.77 | 14797.34 | 400202230 | 5981417193550 | 5981417193550.27 |
| 2021-06-28 | 15049.77 | 15150.17 | 15166.56 | 15031.21 | 383096255 | 5790875328655 | 5790875328654.90 |
| 2021-06-29 | 15187.81 | 14999.80 | 15187.81 | 14991.18 | 378668799 | 5702599383191 | 5702599383191.07 |
| 2021-06-30 | 15015.29 | 15161.70 | 15175.75 | 14978.30 | 356128253 | 5379406293628 | 5379406293628.25 |
| 2021-07-01 | 15203.07 | 15038.88 | 15206.15 | 15001.89 | 389507874 | 5874677204749 | 5874677204749.36 |
| 2021-07-02 | 14937.73 | 14670.71 | 14937.73 | 14652.74 | 355554619 | 5245755663797 | 5245755663796.81 |
| 2021-07-05 | 14666.68 | 14718.66 | 14782.57 | 14597.87 | 366939853 | 5393905757144 | 5393905757144.10 |
| 2021-07-06 | 14745.45 | 14667.65 | 14779.30 | 14480.87 | 400447287 | 5863592114275 | 5863592114274.78 |
| 2021-07-07 | 14592.75 | 14940.05 | 14966.23 | 14545.29 | 384821024 | 5701966228603 | 5701966228602.56 |
| 2021-07-08 | 14984.25 | 14882.90 | 15033.34 | 14856.93 | 439891607 | 6565113900595 | 6565113900594.73 |
| 2021-07-09 | 14805.81 | 14844.36 | 14887.60 | 14583.55 | 422903624 | 6247063259469 | 6247063259469.41 |
| 2021-07-12 | 14970.13 | 15161.52 | 15222.17 | 14870.83 | 484442460 | 7307736998306 | 7307736998306.40 |
| 2021-07-13 | 15151.09 | 15189.29 | 15232.15 | 15077.34 | 475437231 | 7210604659026 | 7210604659026.06 |
| 2021-07-14 | 15141.04 | 15056.32 | 15215.63 | 15021.99 | 482609243 | 7286424698629 | 7286424698629.14 |
| 2021-07-15 | 15014.91 | 15169.33 | 15170.64 | 14899.31 | 460528434 | 6944658257896 | 6944658257895.84 |
| 2021-07-16 | 15144.08 | 14972.21 | 15165.75 | 14962.97 | 443357816 | 6665283274790 | 6665283274789.63 |
| 2021-07-19 | 14958.62 | 14992.90 | 15033.60 | 14856.64 | 428204849 | 6406392728782 | 6406392728781.95 |
| 2021-07-20 | 14879.27 | 15011.35 | 15031.88 | 14859.71 | 381815991 | 5714886844971 | 5714886844971.18 |
| 2021-07-21 | 15070.17 | 15212.60 | 15264.10 | 15061.09 | 452527201 | 6869029549475 | 6869029549475.26 |
| 2021-07-22 | 15258.73 | 15262.19 | 15290.06 | 15172.10 | 491053564 | 7484368343028 | 7484368343027.80 |
| 2021-07-23 | 15248.25 | 15028.57 | 15248.25 | 14989.50 | 528056142 | 7967719433912 | 7967719433912.48 |
| 2021-07-26 | 14982.90 | 14630.85 | 14982.90 | 14376.33 | 511818605 | 7504980459813 | 7504980459812.80 |
| 2021-07-27 | 14640.26 | 14093.64 | 14741.87 | 14093.64 | 528560726 | 7563554230188 | 7563554230187.63 |
| 2021-07-28 | 13967.44 | 14086.42 | 14207.39 | 13727.48 | 479015280 | 6709613331770 | 6709613331770.40 |
| 2021-07-29 | 14390.29 | 14515.32 | 14544.11 | 14277.97 | 439058985 | 6342558285513 | 6342558285513.00 |
| 2021-07-30 | 14482.78 | 14473.21 | 14522.12 | 14294.48 | 477543397 | 6890920974295 | 6890920974294.86 |
| 2021-08-02 | 14463.21 | 14798.16 | 14806.86 | 14395.33 | 507482138 | 7443130563583 | 7443130563582.77 |
| 2021-08-03 | 14745.91 | 14736.92 | 14844.52 | 14656.20 | 508005497 | 7490988098102 | 7490988098102.36 |
| 2021-08-04 | 14715.75 | 14990.11 | 14990.11 | 14683.35 | 446623231 | 6649262647132 | 6649262647131.56 |
| 2021-08-05 | 14901.96 | 14872.23 | 14990.65 | 14800.42 | 471332106 | 7017082416637 | 7017082416636.60 |
| 2021-08-06 | 14902.69 | 14827.41 | 14915.73 | 14722.13 | 442732262 | 6562069855847 | 6562069855846.91 |
| 2021-08-09 | 14738.37 | 14941.44 | 14980.15 | 14682.94 | 447591253 | 6654865824059 | 6654865824058.70 |
| 2021-08-10 | 14919.52 | 15057.59 | 15057.59 | 14863.08 | 473971709 | 7106140920015 | 7106140920015.45 |
| 2021-08-11 | 15048.87 | 15021.17 | 15101.13 | 14969.08 | 491529126 | 7387908867178 | 7387908867177.96 |
| 2021-08-12 | 14972.49 | 14901.97 | 15037.58 | 14857.91 | 503465038 | 7517984967068 | 7517984967067.83 |
| 2021-08-13 | 14839.51 | 14799.03 | 14994.61 | 14717.67 | 490216202 | 7273388444748 | 7273388444748.21 |
| 2021-08-16 | 14756.48 | 14693.74 | 14800.22 | 14660.08 | 472002083 | 6946932950955 | 6946932950955.11 |
| 2021-08-17 | 14696.19 | 14350.65 | 14750.93 | 14308.63 | 509253047 | 7368927237803 | 7368927237803.29 |
| 2021-08-18 | 14371.82 | 14454.11 | 14500.14 | 14284.85 | 446857540 | 6440572619271 | 6440572619271.33 |
| 2021-08-19 | 14456.18 | 14487.36 | 14570.63 | 14357.73 | 453525645 | 6563380805380 | 6563380805379.80 |
| 2021-08-20 | 14376.90 | 14253.53 | 14448.92 | 14100.92 | 440685557 | 6287608983309 | 6287608983309.03 |
| 2021-08-23 | 14296.95 | 14535.88 | 14558.47 | 14260.08 | 481272141 | 6955093115978 | 6955093115978.21 |
| 2021-08-24 | 14558.96 | 14663.55 | 14710.01 | 14496.89 | 508316470 | 7433357427104 | 7433357427103.83 |
