| date | open | last | high | low | volume | amount | exchange |
| 2021-06-11 | 6907.83 | 6852.97 | 6907.95 | 6852.97 | 190230799 | 1307132255066 | 1307132255066.04 |
| 2021-06-15 | 6854.81 | 6815.12 | 6866.18 | 6796.88 | 163778570 | 1117962345534 | 1117962345534.20 |
| 2021-06-16 | 6808.63 | 6673.24 | 6810.20 | 6668.04 | 156086276 | 1048456489696 | 1048456489696.16 |
| 2021-06-17 | 6669.67 | 6787.67 | 6790.71 | 6669.67 | 148476838 | 1002122146555 | 1002122146555.30 |
| 2021-06-18 | 6783.99 | 6863.72 | 6869.26 | 6765.96 | 157958939 | 1079330271008 | 1079330271008.22 |
| 2021-06-21 | 6844.34 | 6968.30 | 6970.64 | 6833.36 | 157869004 | 1093100770596 | 1093100770596.40 |
| 2021-06-22 | 6987.51 | 7000.25 | 7010.62 | 6947.87 | 168334055 | 1176023230630 | 1176023230630.23 |
| 2021-06-23 | 6997.41 | 7046.17 | 7060.40 | 6978.77 | 162649502 | 1143173350167 | 1143173350166.89 |
| 2021-06-24 | 7045.05 | 6974.64 | 7045.05 | 6969.55 | 162062962 | 1133859468176 | 1133859468176.29 |
| 2021-06-25 | 6975.49 | 7000.43 | 7016.08 | 6947.12 | 163774032 | 1144432736819 | 1144432736818.72 |
| 2021-06-28 | 7007.43 | 7063.47 | 7081.05 | 7005.93 | 152113850 | 1072425459578 | 1072425459577.50 |
| 2021-06-29 | 7068.40 | 7004.30 | 7082.07 | 6999.75 | 155950034 | 1096127043643 | 1096127043642.69 |
| 2021-06-30 | 7011.18 | 7083.70 | 7083.99 | 7004.75 | 148620294 | 1048884752499 | 1048884752499.12 |
| 2021-07-01 | 7094.19 | 6969.53 | 7099.13 | 6969.53 | 155170164 | 1088166464188 | 1088166464187.72 |
| 2021-07-02 | 6947.45 | 6908.93 | 6960.48 | 6891.47 | 144228533 | 998103755396 | 998103755396.35 |
| 2021-07-05 | 6930.26 | 7006.70 | 7006.72 | 6930.26 | 150762865 | 1052509733481 | 1052509733481.07 |
| 2021-07-06 | 7013.99 | 6979.06 | 7045.19 | 6885.09 | 162135485 | 1130048660643 | 1130048660643.30 |
| 2021-07-07 | 6932.94 | 7089.66 | 7093.05 | 6913.50 | 153671393 | 1080627992574 | 1080627992573.51 |
| 2021-07-08 | 7102.67 | 7099.41 | 7138.76 | 7082.39 | 174040696 | 1236881700503 | 1236881700503.25 |
| 2021-07-09 | 7064.99 | 7142.90 | 7165.88 | 7000.59 | 169401412 | 1203279122277 | 1203279122276.81 |
| 2021-07-12 | 7184.09 | 7284.23 | 7301.10 | 7171.04 | 192465587 | 1395784174346 | 1395784174346.40 |
| 2021-07-13 | 7285.96 | 7331.73 | 7331.73 | 7263.16 | 192094228 | 1403992380516 | 1403992380516.45 |
| 2021-07-14 | 7301.61 | 7243.82 | 7338.31 | 7240.98 | 188693518 | 1372626466534 | 1372626466533.66 |
| 2021-07-15 | 7218.34 | 7241.62 | 7250.03 | 7103.97 | 181873511 | 1309223743874 | 1309223743873.94 |
| 2021-07-16 | 7230.85 | 7228.36 | 7311.45 | 7214.04 | 182770696 | 1325322101727 | 1325322101726.53 |
| 2021-07-19 | 7213.63 | 7205.27 | 7259.03 | 7174.11 | 177030272 | 1276884535983 | 1276884535982.51 |
| 2021-07-20 | 7145.54 | 7253.28 | 7253.37 | 7137.89 | 163146121 | 1177074247276 | 1177074247276.45 |
| 2021-07-21 | 7285.41 | 7398.81 | 7416.47 | 7285.41 | 190468877 | 1403164535075 | 1403164535075.04 |
| 2021-07-22 | 7405.65 | 7446.48 | 7447.03 | 7349.13 | 203728649 | 1510487665798 | 1510487665797.79 |
| 2021-07-23 | 7442.62 | 7379.79 | 7473.14 | 7348.32 | 219221253 | 1622328614389 | 1622328614388.75 |
| 2021-07-26 | 7368.13 | 7286.15 | 7395.27 | 7140.73 | 212857936 | 1548339269361 | 1548339269360.80 |
| 2021-07-27 | 7298.33 | 7093.87 | 7373.09 | 7093.86 | 221926719 | 1594974013850 | 1594974013849.86 |
| 2021-07-28 | 7019.05 | 6945.51 | 7058.51 | 6750.59 | 197276061 | 1364795902797 | 1364795902797.07 |
