| date | open | last | high | low | volume | amount | exchange |
| 2021-04-26 | 3540.53 | 3467.66 | 3548.21 | 3462.16 | 25863227 | 80490262528 | 0.16 |
| 2021-04-27 | 3469.98 | 3476.30 | 3482.60 | 3450.02 | 20804166 | 61353722368 | 0.13 |
| 2021-04-28 | 3457.17 | 3473.04 | 3473.04 | 3440.20 | 22451259 | 77516443648 | 0.14 |
| 2021-04-29 | 3483.10 | 3517.21 | 3519.83 | 3468.62 | 31480525 | 83713728512 | 0.20 |
| 2021-04-30 | 3518.86 | 3491.19 | 3522.61 | 3471.38 | 34026554 | 86473764864 | 0.21 |
| 2021-05-06 | 3475.05 | 3449.94 | 3510.40 | 3443.31 | 29933429 | 90047467520 | 0.19 |
| 2021-05-07 | 3457.91 | 3406.31 | 3470.52 | 3402.08 | 30092528 | 82122260480 | 0.19 |
| 2021-05-10 | 3410.01 | 3399.98 | 3416.03 | 3371.13 | 28048889 | 68750413824 | 0.17 |
| 2021-05-11 | 3380.63 | 3437.71 | 3443.36 | 3371.47 | 24935741 | 71271510016 | 0.15 |
| 2021-05-12 | 3423.42 | 3447.86 | 3456.07 | 3421.66 | 23689680 | 59566576128 | 0.15 |
| 2021-05-13 | 3418.58 | 3413.89 | 3435.45 | 3395.81 | 21882668 | 60670008576 | 0.14 |
| 2021-05-14 | 3426.43 | 3503.04 | 3504.65 | 3406.71 | 34527248 | 95323701248 | 0.21 |
| 2021-05-17 | 3502.74 | 3539.91 | 3556.49 | 3502.21 | 30165091 | 92431183872 | 0.19 |
| 2021-05-18 | 3543.11 | 3537.70 | 3550.08 | 3520.67 | 23782587 | 57213058304 | 0.15 |
| 2021-05-19 | 3531.79 | 3511.47 | 3531.79 | 3501.38 | 23806633 | 60552282880 | 0.15 |
| 2021-05-20 | 3514.43 | 3522.45 | 3530.49 | 3496.52 | 23827196 | 63208447488 | 0.15 |
| 2021-05-21 | 3532.87 | 3481.86 | 3544.27 | 3475.26 | 20644644 | 61176734208 | 0.13 |
| 2021-05-24 | 3482.99 | 3497.75 | 3499.45 | 3457.29 | 22986543 | 64532267776 | 0.14 |
