| date | open | last | high | low | volume | amount | exchange |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 2021-04-22 | 3482.83 | 3465.11 | 3485.36 | 3456.32 | 251114510 | 871098657174 | 871098657174.30 |
| 2021-04-23 | 3462.09 | 3474.17 | 3482.36 | 3456.33 | 249360433 | 865518426123 | 865518426122.79 |
| 2021-04-26 | 3484.11 | 3441.17 | 3497.12 | 3438.57 | 276970771 | 958028971586 | 958028971586.35 |
| 2021-04-27 | 3440.09 | 3442.61 | 3443.85 | 3417.26 | 253032393 | 869058309467 | 869058309467.32 |
| 2021-04-28 | 3432.16 | 3457.07 | 3457.07 | 3423.33 | 247381120 | 852431635522 | 852431635522.13 |
| 2021-04-29 | 3458.08 | 3474.90 | 3478.23 | 3447.59 | 276631387 | 959055199800 | 959055199799.55 |
| 2021-04-30 | 3468.30 | 3446.86 | 3469.09 | 3426.90 | 312660354 | 1077933047456 | 1077933047456.30 |
| 2021-05-06 | 3446.07 | 3441.28 | 3471.24 | 3426.85 | 310424192 | 1069863526013 | 1069863526013.01 |
| 2021-05-07 | 3446.41 | 3418.87 | 3457.89 | 3416.78 | 353785389 | 1213901351029 | 1213901351029.02 |
| 2021-05-10 | 3423.59 | 3427.99 | 3429.74 | 3401.93 | 374170884 | 1279622017246 | 1279622017246.48 |
| 2021-05-11 | 3406.60 | 3441.85 | 3448.10 | 3384.70 | 350934112 | 1201908391287 | 1201908391286.93 |
| 2021-05-12 | 3429.75 | 3462.75 | 3466.37 | 3428.39 | 311444547 | 1075263336666 | 1075263336665.99 |
| 2021-05-13 | 3432.14 | 3429.54 | 3448.02 | 3418.38 | 319325327 | 1095918135757 | 1095918135757.46 |
| 2021-05-14 | 3436.09 | 3490.38 | 3490.64 | 3422.56 | 336982309 | 1168607470089 | 1168607470088.74 |
| 2021-05-17 | 3490.41 | 3517.62 | 3530.51 | 3490.14 | 322135969 | 1131585272678 | 1131585272677.88 |
| 2021-05-18 | 3520.65 | 3529.01 | 3529.01 | 3510.86 | 271308558 | 955809197492 | 955809197491.68 |
| 2021-05-19 | 3521.11 | 3510.96 | 3521.11 | 3503.82 | 278321117 | 977453557796 | 977453557796.38 |
| 2021-05-20 | 3500.88 | 3506.94 | 3517.74 | 3486.07 | 326009333 | 1142200865610 | 1142200865609.92 |
| 2021-05-21 | 3510.84 | 3486.56 | 3518.38 | 3479.67 | 283826285 | 991935968658 | 991935968657.95 |
| 2021-05-24 | 3486.27 | 3497.28 | 3498.30 | 3469.87 | 289509242 | 1009948165563 | 1009948165562.97 |
| 2021-05-25 | 3502.54 | 3581.34 | 3584.58 | 3502.44 | 341241127 | 1213494396547 | 1213494396547.24 |
| 2021-05-26 | 3586.84 | 3593.36 | 3603.49 | 3585.37 | 341980288 | 1229102233626 | 1229102233626.45 |
| 2021-05-27 | 3585.73 | 3608.85 | 3626.36 | 3579.26 | 309551486 | 1115878419601 | 1115878419600.81 |
| 2021-05-28 | 3610.77 | 3600.78 | 3622.18 | 3582.36 | 349208830 | 1257771051659 | 1257771051658.53 |
